enhancer_id	class	activity_note	start_mm10	end_mm10	Mean rank percentile	HOXA13	HOXD13	GLI3	H3K4me1	H3K27ac	H3K4me3	HAND2	p300	PITX1
hs111	non_limb	Forebrain, Neural tube	15543030	15545008	0.9176954732510288	0.9814814814814815	0.9629629629629629	0.8888888888888888	1.0	0.9814814814814815	0.9629629629629629	0.9444444444444444	0.7037037037037037	0.8333333333333334
CNE14_hs1586_mm1977	limb	curated_validated_limb_enhancer	15549343	15550462	0.9115226337448559	0.9074074074074074	0.9074074074074074	0.9629629629629629	0.9629629629629629	0.9259259259259259	0.8148148148148148	0.9074074074074074	0.8333333333333334	0.9814814814814815
mm1408	non_limb	Facial mesenchyme	15051770	15054203	0.8950617283950617	1.0	1.0	0.8518518518518519	0.8148148148148148	0.9074074074074074	0.9074074074074074	0.6481481481481481	1.0	0.9259259259259259
mm2192	non_limb	Heart	15464300	15470736	0.8950617283950617	0.9629629629629629	0.9814814814814815	0.9259259259259259	0.9259259259259259	1.0	1.0	0.5185185185185185	0.8518518518518519	0.8888888888888888
mm652	non_limb	Cranial nerve, Dorsal root ganglion, Heart	15664357	15665305	0.8497942386831276	0.8888888888888888	0.8333333333333334	0.9814814814814815	0.9814814814814815	0.8888888888888888	0.9444444444444444	0.16666666666666666	0.9629629629629629	1.0
mm2019	non_limb	Forebrain, Midbrain, Hindbrain, Neural tube	15539213	15545868	0.8446502057613168	0.9259259259259259	0.8888888888888888	0.8055555555555556	0.9444444444444444	0.9629629629629629	0.8518518518518519	0.7962962962962963	0.6481481481481481	0.7777777777777778
mm1443	non_limb	Branchial arch	15575905	15578740	0.8209876543209877	0.8518518518518519	0.6481481481481481	0.9074074074074074	0.7592592592592593	0.8333333333333334	0.7777777777777778	0.8518518518518519	0.8148148148148148	0.9444444444444444
mm1827	non_limb	Hindbrain	15866641	15869682	0.8189300411522633	0.9444444444444444	0.9444444444444444	0.9444444444444444	0.8888888888888888	0.8148148148148148	0.8333333333333334	0.05555555555555555	0.9814814814814815	0.9629629629629629
mm1410	non_limb	Forebrain, Hindbrain	15394344	15396348	0.8168724279835391	0.7222222222222222	0.7407407407407407	0.7777777777777778	0.9074074074074074	0.9444444444444444	0.9814814814814815	0.48148148148148145	0.9259259259259259	0.8703703703703703
CNE18	limb	curated_validated_limb_enhancer	15610488	15611188	0.7397119341563787	0.7592592592592593	0.8703703703703703	0.7592592592592593	0.7222222222222222	0.7592592592592593	0.4166666666666667	0.6111111111111112	0.9444444444444444	0.8148148148148148
mm1969	non_limb	Ear, Tail, Dorsal root ganglion, Trigeminal V, Genital tubercle	15206894	15211138	0.7088477366255144	0.7777777777777778	0.6666666666666666	0.6574074074074074	0.6666666666666666	0.7129629629629629	0.5277777777777778	0.7407407407407407	0.8888888888888888	0.7407407407407407
mm1824	non_limb	Tail, Dorsal root ganglion, Trigeminal V	15207935	15210467	0.6893004115226338	0.8703703703703703	0.8148148148148148	0.7222222222222222	0.8333333333333334	0.7407407407407407	0.6481481481481481	0.05555555555555555	0.7222222222222222	0.7962962962962963
mm1917	non_limb	Branchial arch	15575346	15580762	0.6862139917695473	0.7037037037037037	0.35185185185185186	0.8055555555555556	0.6111111111111112	0.5925925925925926	0.6851851851851852	0.9629629629629629	0.6111111111111112	0.8518518518518519
mm1923	non_limb	Eye	15617321	15622705	0.683127572016461	0.5370370370370371	0.6851851851851852	0.8703703703703703	0.6296296296296297	0.7129629629629629	0.4722222222222222	0.6666666666666666	0.9074074074074074	0.6666666666666666
mm1963	non_limb	Facial mesenchyme, Nose	15441031	15447769	0.6820987654320987	0.7962962962962963	0.3888888888888889	0.5833333333333334	0.8703703703703703	0.8518518518518519	0.7962962962962963	0.6851851851851852	0.4444444444444444	0.7222222222222222
mm2171	non_limb	Heart	15663622	15670352	0.668724279835391	0.6851851851851852	0.5	0.8333333333333334	0.8518518518518519	0.6481481481481481	0.7407407407407407	0.3148148148148148	0.5370370370370371	0.9074074074074074
CNE19	limb	curated_validated_limb_enhancer	15620962	15621575	0.6460905349794239	0.8333333333333334	0.9259259259259259	1.0	0.7962962962962963	0.6666666666666666	0.6296296296296297	0.05555555555555555	0.14814814814814814	0.7592592592592593
mm1893	non_limb	Forebrain, Hindbrain	15391180	15395886	0.6358024691358024	0.6296296296296297	0.3333333333333333	0.6851851851851852	0.7777777777777778	0.7777777777777778	0.9259259259259259	0.1111111111111111	0.7777777777777778	0.7037037037037037
mm1902	non_limb	Branchial arch, Forebrain, Midbrain, Hindbrain	15483222	15488000	0.6008230452674898	0.7407407407407407	0.7962962962962963	0.6574074074074074	0.7407407407407407	0.5370370370370371	0.6111111111111112	0.2037037037037037	0.4722222222222222	0.6481481481481481
mm1912	non_limb	Facial mesenchyme, Forebrain	15553755	15558617	0.5771604938271604	0.5	0.2962962962962963	0.5833333333333334	0.6851851851851852	0.8703703703703703	0.6666666666666666	0.5740740740740741	0.5925925925925926	0.42592592592592593
mm1915	non_limb	Branchial arch, Nose, Midbrain, Heart	15566505	15571780	0.5596707818930041	0.3333333333333333	0.6111111111111112	0.12962962962962962	0.5185185185185185	0.5555555555555556	0.7037037037037037	0.9259259259259259	0.6296296296296297	0.6296296296296297
mm1911	non_limb	Branchial arch, Ear	15535420	15540093	0.5576131687242799	0.8148148148148148	0.7777777777777778	0.4444444444444444	0.6481481481481481	0.46296296296296297	0.5740740740740741	0.2222222222222222	0.5	0.5740740740740741
mm1940	non_limb	Hindbrain, Other	15754221	15759133	0.5411522633744856	0.4074074074074074	0.4444444444444444	0.12962962962962962	0.4074074074074074	0.6851851851851852	0.8888888888888888	0.9814814814814815	0.5740740740740741	0.35185185185185186
hs1213	non_limb	Forebrain, Midbrain, Hindbrain	15485450	15487169	0.537037037037037	0.6481481481481481	0.5370370370370371	0.7037037037037037	0.7037037037037037	0.37037037037037035	0.7222222222222222	0.2962962962962963	0.2962962962962963	0.5555555555555556
mm2018	limb	curated_validated_limb_enhancer	15561789	15567045	0.5288065843621399	0.48148148148148145	0.37037037037037035	0.5185185185185185	0.5925925925925926	0.5185185185185185	0.4444444444444444	0.7037037037037037	0.5185185185185185	0.6111111111111112
mm1896	non_limb	Nose	15418100	15423221	0.5257201646090536	0.46296296296296297	0.2037037037037037	0.28703703703703703	0.5	0.42592592592592593	0.7592592592592593	0.7222222222222222	0.6851851851851852	0.6851851851851852
mm1897	non_limb	Branchial arch, Cranial nerve, Heart	15422724	15427678	0.5246913580246914	0.2222222222222222	0.09259259259259259	0.6111111111111112	0.5740740740740741	0.48148148148148145	0.8703703703703703	0.8148148148148148	0.5555555555555556	0.5
CNE13	limb	curated_validated_limb_enhancer	15706515	15706940	0.492798353909465	0.6111111111111112	0.4074074074074074	0.48148148148148145	0.42592592592592593	0.18518518518518517	0.046296296296296294	1.0	0.8703703703703703	0.4074074074074074
mm2028	non_limb	Forebrain	15706967	15711848	0.49074074074074076	0.6666666666666666	0.7037037037037037	0.4444444444444444	0.46296296296296297	0.7962962962962963	0.26851851851851855	0.12962962962962962	0.42592592592592593	0.5185185185185185
mm1935	non_limb	Forebrain, Midbrain, Hindbrain, Neural tube	15711741	15716673	0.46810699588477367	0.5555555555555556	0.7222222222222222	0.08333333333333333	0.37037037037037035	0.4074074074074074	0.37037037037037035	0.8333333333333334	0.4074074074074074	0.46296296296296297
mm2084	non_limb	Tail, Neural tube	15177942	15183579	0.4598765432098766	0.5185185185185185	0.24074074074074073	0.37962962962962965	0.5555555555555556	0.5740740740740741	0.5555555555555556	0.37037037037037035	0.35185185185185186	0.5925925925925926
mm2074	non_limb	Facial mesenchyme	14669877	14675087	0.45473251028806594	0.5925925925925926	0.7592592592592593	0.28703703703703703	0.2962962962962963	0.35185185185185186	0.10185185185185185	0.5555555555555556	0.7592592592592593	0.3888888888888889
mm1941	non_limb	Ear	15762279	15766698	0.4218106995884774	0.5740740740740741	0.5555555555555556	0.6296296296296297	0.3148148148148148	0.5	0.16666666666666666	0.42592592592592593	0.25925925925925924	0.37037037037037035
mm1862	non_limb	Branchial arch, Forebrain, Midbrain, Hindbrain, Neural tube, Eye	15105354	15110659	0.4197530864197531	0.2777777777777778	0.5185185185185185	0.28703703703703703	0.3888888888888889	0.3148148148148148	0.5277777777777778	0.7592592592592593	0.37037037037037035	0.3333333333333333
